Gene_acc,Gene_id,log_FDR,srank,desc2,BSF_rank2,Log_Intensity
36,Tb927.10.5840,0.239668004,19.666717,"translation elongation factor 1-beta, putative",323,8.069372054
37,Tb927.10.11330,0.239668004,19.430696,"EF-hand domain pair, putative",4066,7.436576064
38,Tb927.7.4670,0.239668004,19.205548,ribosomal RNA processing protein 4,3570.5,7.616643528
39,Tb927.10.3560,0.238448011,18.582706,"arginine N-methyltransferase, putative",921,8.644271142
43,Tb927.10.7710,0.238448011,17.941642,"40S ribosomal protein S8, putative",4389,7.535142154
44,Tb927.10.5540,0.238448011,17.707434,"hypothetical protein, conserved",4143,7.577273449
45,Tb927.7.6360,0.238448011,17.691843,histone H2A variant Z,804,7.727313477
50,Tb927.6.840,0.216346498,16.223638,"hypothetical protein, conserved",2140,8.500236475
53,Tb927.7.2160,0.216346498,15.907401,"hypothetical protein, conserved",3462,7.718152785
54,Tb927.1.3030,0.209398205,15.592032,KREL2,3925,6.983314999
56,Tb927.6.1610,0.190736649,15.007511,"ribosomal RNA adenine dimethylase family protein, conserved",4457,7.802020752
57,Tb927.11.4980,0.190736649,14.965754,"ATP-dependent DEAD/H RNA helicase, putative",2695,7.725740166
58,Tb927.9.14430,0.190736649,14.957699,Casein kinase II,1234,7.580879378
59,Tb927.7.3120,0.187534532,14.595005,small nuclear ribonucleoprotein SmD1,1767,7.416041067
61,Tb927.1.2730,0.153279492,13.931002,"conserved protein, unknown function",3027,7.937663301
64,Tb927.6.3070,0.153279492,13.658289,"hypothetical protein, conserved",4021,7.608172892
65,Tb927.11.3830,0.153279492,13.654675,"hypothetical protein, conserved",2844,7.781396305
71,Tb927.3.3440,0.153279492,13.031285,"phytanoyl-CoA dioxygenase (PhyH), putative",4490,6.857525473
76,Tb927.10.8200,0.153279492,12.722196,"Ribosomal protein L1p/L10e family, putative",2085,8.540104134
79,Tb927.7.3580,0.153279492,12.223432,"Serine/threonine-protein kinase NEK11, putative",5178,7.119387874
80,Tb927.11.11380,0.153279492,12.175716,SUMO-interacting motif-containing protein,2266,6.981197743
84,Tb927.3.5130,0.153279492,11.933624,"exonuclease, putative",4036,7.749125401
87,Tb927.10.12390,0.153279492,11.684404,"hypothetical protein, conserved",2738,7.241048151
88,Tb927.11.8970,0.153279492,11.676953,"ribose 5-phosphate isomerase, putative",191,8.673196065
89,Tb927.8.3010,0.153279492,11.599795,"hook complex protein, conserved",2634,7.77598888
91,Tb927.10.9780,0.153279492,11.390035,"ATP-dependent DEAD/H RNA helicase, putative",3548,8.130301597
94,Tb927.8.3550,0.153279492,11.170979,"mitogen-activated protein kinase 3, putative",1487,8.579886444
96,Tb927.6.3610,0.153279492,11.13909,"SET domain containing protein, putative",2668,8.22130989
97,Tb927.8.6760,0.153279492,11.047428,"translationally-controlled tumor protein homolog, putative",817,6.672134818
98,Tb927.1.3110,0.153279492,10.965535,"soluble N-ethylmaleimide sensitive factor (NSF) attachment protein, putative",1420,8.232564141
99,Tb927.8.4450,0.142848497,10.690838,"RNA-binding protein, putative",2142,8.156549151
100,Tb927.10.14330,0.142311769,10.622956,"Utp14 protein, putative",3685,8.680852008
101,Tb927.10.11150,0.142311769,10.601073,"hypothetical protein, conserved",2638,6.650628025
104,Tb927.5.1990,0.142311769,10.487545,"hypothetical protein, conserved",4848,9.025879083
106,Tb927.11.7020,0.142311769,10.446138,"proteasome alpha 7 subunit, putative",656,7.018367578
108,Tb927.6.3760,0.142311769,10.395043,kinetoplastid kinetochore protein 15,5830,7.192762535
109,Tb927.11.540,0.142311769,10.361548,"ABC transporter, mitochondrial, putative",2309,7.790088033
112,Tb927.6.2320,0.142311769,10.29392,"hypothetical protein, conserved",2812.5,7.768786047
113,Tb927.11.9670,0.142311769,10.223836,"aminomethyltransferase, mitochondrial, putative",2191,8.283595183
114,Tb927.11.4190,0.142311769,10.088104,"Metallopeptidase family M24, putative",2451,8.248046869
115,Tb927.10.14680,0.142311769,10.083279,"ribosome biogenesis protein, putative",2413,8.170613703
116,Tb927.5.1080,0.142311769,10.008439,"RNA-binding protein, putative",4659,7.925631763
117,Tb927.6.2340,0.142311769,9.979204,"prefoldin subunit, putative",1218.5,8.794090517
119,Tb927.11.13060,0.142311769,9.869882,"translation-associated element 2, putative",2960,7.894316063
120,Tb927.3.2830,0.142311769,9.775056,"brix domain containing protein, putative",4603,7.645156895
121,Tb927.11.11260,0.142311769,9.752562,"hypothetical protein, conserved",2454,7.023087767
123,Tb927.6.4340,0.142311769,9.714599,U6 snRNA-associated Sm-like protein LSm5p,2712,7.580776766
124,Tb927.5.1590,0.142311769,9.705003,"hypothetical protein, conserved",4809,7.27588696
128,Tb927.9.10680,0.142311769,9.403417,"RNA polymerase III RPC4, putative",4246,7.209649035
130,Tb927.9.3680,0.142311769,9.390873,"hypothetical protein, conserved",3044.5,8.425648322
131,Tb927.11.8310,0.142311769,9.275713,"class I transcription factor A, subunit 4",1447,8.51683934
136,Tb927.5.2930,0.141456787,9.077133,"Mitochondrial ATP synthase subunit, putative",1389,9.098816717
140,Tb927.2.3020,0.134682782,8.830016,Component of motile flagella 76,2572,7.562233368
142,Tb927.4.2630,0.134682782,8.803718,"ATP-dependent DEAD/H RNA helicase, putative",3502,8.039533088
143,Tb927.6.3780,0.134682782,8.793265,"E3 ubiquitin-protein ligase, putative",3077,7.212427333
144,Tb927.11.13930,0.134682782,8.783998,"U3 small nucleolar ribonucleoprotein protein IMP3, putative",4973,7.04359803
150,Tb927.11.1560,0.134682782,8.637755,"1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative",722,7.058881339
153,Tb927.11.10820,0.134682782,8.478171,"Casein kinase II subunit beta, putative",2614,6.649685269
154,Tb927.5.2980,0.134682782,8.472038,"Exocyst complex component Sec3, putative",3111,8.339431565
156,Tb927.7.1080,0.134682782,8.370143,"hypothetical protein, conserved",3515,8.117138666
159,Tb927.9.11870,0.134440048,8.202559,"zinc finger protein, putative",3473,7.94682548
163,Tb927.7.7360,0.134440048,8.116878,cdc2-related kinase 2,5203,7.567226402
165,Tb927.10.600,0.134440048,8.102472,Mitochondrial ribosomal protein L29,4126,8.073681699
172,Tb927.10.15800,0.134440048,7.933084,"actin related protein 2, putative",4680,8.825419626
173,Tb927.11.3280,0.134440048,7.920293,"Kinesin-13 5, putative",1370,9.138649995
179,Tb927.8.600,0.123130052,7.539343,"Bucentaur or craniofacial development, putative",5450,7.432760908
180,Tb927.4.3840,0.123130052,7.538389,"nucleolar protein, putative",1734,7.819445221
181,Tb927.10.10160,0.123130052,7.533734,"Pentatricopeptide repeat protein (PPR), putative",3968,7.202842365
182,Tb927.8.6390,0.123130052,7.480385,"lysophospholipase, putative",258,7.430590998
184,Tb927.9.14280,0.123130052,7.42509,"hypothetical protein, conserved",5391,8.082964794
188,Tb927.3.1010,0.123130052,7.37797,"hypothetical protein, conserved",340,7.142389466
190,Tb927.11.4010,0.123130052,7.361002,"hypothetical protein, conserved",3845.5,6.973967909
191,Tb927.6.2170,0.123130052,7.350755,"co-chaperone GrpE, putative",855,7.942742011
193,Tb927.11.1050,0.123130052,7.26874,"ribosome production factor 1, putative",4024,6.996699884
196,Tb927.10.2120,0.123130052,7.228956,"U1 small nuclear ribonucleoprotein C, putative",5864,6.702895603
201,Tb927.10.6260,0.121311642,6.985583,"ATP-dependent DEAD/H RNA helicase, putative",2687.5,7.955163202
202,Tb927.10.4900,0.120141763,6.951303,"TPR-repeat-containing chaperone protein DNAJ, putative",1689,8.937848753
203,Tb927.8.4290,0.118096326,6.906772,"Ribosome biogenesis protein Nop16, putative",5125,6.601234047
207,Tb927.10.930,0.111696921,6.764606,"hypothetical protein, conserved",4251,6.932169246
211,Tb927.9.4300,0.11162391,6.706863,"PRP3, putative",3884,8.333930674
212,Tb927.9.3640,0.11162391,6.671936,"LSU ribosomal protein, mitochondrial, putative",4963,6.443137767
215,Tb927.11.16890,0.11162391,6.644652,Tetratricopeptide-like helical domain containing protein,1246,7.328134862
218,Tb927.10.9420,0.11162391,6.584029,"mitochondrial chaperone BCS1, putative",5222,7.649159548
219,Tb927.11.3100,0.11162391,6.555118,Present in the outer mitochondrial membrane proteome 13,4878,7.925899693
220,Tb927.10.15950,0.11162391,6.541722,TATA-box-binding protein,5457.5,6.534140379
221,Tb927.11.4550,0.11162391,6.533826,"Domain of unknown function (DUF4200), putative",2296,7.725159947
222,Tb927.11.4040,0.11162391,6.47979,"hypothetical protein, conserved",6371,6.41713941
223,Tb927.7.3070,0.11162391,6.472591,"UAA transporter family, putative",3256,6.679981768
225,Tb927.11.4700,0.11162391,6.41163,prostaglandin f synthase,370,6.453501806
230,Tb927.11.6810,0.101538107,6.237266,"tubulin-tyrsoine ligase-like protein, putative",2260.5,8.071808392
232,Tb927.5.3450,0.100464015,6.177839,"eukaryotic translation initiation factor eIF2A, putative",801,6.939609097
234,Tb927.8.5520,0.100464015,6.173798,"hypothetical protein, conserved",3843,7.787630475
235,Tb927.4.1330,0.100464015,6.17118,"DNA topoisomerase IB, large subunit",1074,8.521817772
238,Tb927.11.15000,0.100464015,6.103873,survival of motor neuron (SMN)-like protein,3036,8.219427335
240,Tb927.9.12710,0.099010556,6.043423,"hypothetical protein, conserved",5743,8.004192356
241,Tb927.10.10590,0.097920923,6.01735,"histone H2B, putative",95,8.979835078
242,Tb927.3.3300,0.097920923,6.009945,Flagellum attachment zone protein 19,533,8.113375057
254,Tb927.10.9840,0.089936165,5.733559,"chaperone protein DnaJ, putative",2196,7.395798006
258,Tb927.10.11870,0.087618501,5.652958,mitochondrial RNA binding protein,3417,7.805908455
259,Tb927.9.4290,0.087368826,5.635574,"hypothetical protein, conserved",3949,7.209863383
260,Tb927.7.190,0.087368826,5.631775,"thimet oligopeptidase, putative",1205,7.985430965
261,Tb927.10.5400,0.081304046,5.547112,"hypothetical protein, conserved",1816,8.176207055
263,Tb927.8.7170,0.080346718,5.52446,"inositol polyphosphate 1-phosphatase, putative",1559,7.286972645
264,Tb927.3.4140,0.080346718,5.513325,"hypothetical protein, conserved",2711,7.687100698
267,Tb927.9.10230,0.079730542,5.453095,Co-chaperone protein P23,470,7.272352241
271,Tb927.2.1140,0.079730542,5.417274,"retrotransposon hot spot protein 3 (RHS3), interrupted",3197,7.911807232
272,Tb927.7.1360,0.079730542,5.411756,"hypothetical protein, conserved",4108,8.771087497
273,Tb927.9.2580,0.079730542,5.385357,"deoxyhypusine hydroxylase, putative",2682,8.103221992
277,Tb927.4.470,0.074718857,5.273111,"snoRNP protein GAR1, putative",1295,7.784460376
278,Tb927.11.12110,0.074718857,5.269458,"RNA helicase, putative",2663,8.061678615
279,Tb927.10.8960,0.073693575,5.234282,"hypothetical protein, conserved",3798,8.139564266
281,Tb927.10.6900,0.073647262,5.215639,base J-associated glucosyltransferase,3527.5,7.638938295
282,Tb927.9.5210,0.073647262,5.211028,"glutaminyl-tRNA synthetase, putative",750,8.179580513
284,Tb927.8.4930,0.073647262,5.200383,"hypothetical protein, conserved",4226,7.534280005
286,Tb927.10.7310,0.073647262,5.185693,"terminal uridylyltransferase 3, putative",4182,8.392890321
293,Tb927.9.8290,0.063260121,4.989102,mitochondrial ribosomal protein l30,5000,7.935456881
298,Tb927.5.2790,0.063260121,4.934789,mitochondrial DNA polymerase beta-PAK,2895,8.49768969
299,Tb927.10.8210,0.063260121,4.927054,KREPA2,3295,7.2175629
300,Tb927.11.850,0.063260121,4.90965,"Atypical serine/threonine protein kinase BUD32, putative",3397,7.798878435
301,Tb927.8.6660,0.063260121,4.893024,"paraflagellar rod component, putative",222,6.726335923
302,Tb927.11.3120,0.063260121,4.882855,nucleolar GTP-binding protein 1,2594,8.605488209
303,Tb927.11.4660,0.063260121,4.866229,Kinesin-13 2,1936,8.704819467
305,Tb927.10.11990,0.063260121,4.860792,"60S ribosome subunit biogenesis protein NIP7, putative",5038,7.502973059
309,Tb927.11.8770,0.063260121,4.825861,"ATP-dependent RNA helicase FAL1, putative",1478,7.81163532
312,Tb927.10.6630,0.063260121,4.802669,"ATP-dependent RNA helicase DBP2A, putative",1723,8.898582587
313,Tb927.10.3380,0.063260121,4.770448,"60S acidic ribosomal protein P2, putative",420.5,9.134655142
317,Tb927.7.4450,0.063260121,4.746135,SUMO-interacting motif-containing protein,2778,8.793301354
320,Tb927.9.1700,0.063260121,4.681926,"btb/poz domain containing protein, putative",2746,7.284543523
321,Tb927.10.1630,0.063260121,4.674652,atp-binding cassette sub-family e member 1,1221,7.968436248
322,Tb927.11.2040,0.063260121,4.670717,"STE/STE11 serine/threonine-protein kinase, putative",3957,8.113073894
325,Tb927.6.1440,0.059463594,4.600721,"LSU ribosomal protein, mitochondrial, putative",4855,8.445682027
327,Tb927.5.2640,0.057991947,4.563706,nicotinamide/nicotinic acid mononucleotide adenylyltransferase,3372,6.128173015
328,Tb927.9.5590,0.057168809,4.545599,DNA topoisomerase ii,2258,8.626196605
329,Tb927.9.13350,0.056668746,4.532921,"hypothetical protein, conserved",4709,8.592321128
331,Tb927.4.3560,0.056085243,4.509088,"protein phoshatase 1, putative",2843,6.29961624
335,Tb927.8.4140,0.056085243,4.483055,Anaphase-promoting complex-associated protein AP3,6545,8.224895471
336,Tb927.8.5650,0.056085243,4.474504,"hypothetical protein, conserved",3465,7.900831221
340,Tb927.10.11660,0.056085243,4.44121,"hypothetical protein, conserved",2964,7.773442675
342,Tb927.3.1910,0.056085243,4.43982,"Histone RNA hairpin-binding protein RNA-binding domain containing protein, putative",4305,9.213252052
343,Tb927.11.940,0.056085243,4.411879,KREPB5,4665,7.392204356
344,Tb927.10.15250,0.056085243,4.393401,"paraflagellar rod component, putative",625,8.100439475
346,Tb927.5.840,0.055191729,4.363324,Nucleolar protein 111,3625,7.597267261
347,Tb927.4.710,0.050692956,4.320966,"hypothetical protein, conserved",6221,7.792643787
350,Tb927.8.5380,0.050692956,4.304476,"ubiquitin fold modifier protein, putative",1320,7.192204925
354,Tb927.7.6890,0.050624633,4.263876,"methyltransferase domain containing protein, putative",909,8.326253911
355,Tb927.8.4580,0.050624633,4.263601,Basal body protein,751,9.385499027
356,Tb927.11.4880,0.050624633,4.254207,"Calmodulin-binding, putative",1245,8.875287038
359,Tb927.9.12890,0.050527046,4.208412,"hypothetical protein, conserved",4191.5,7.969038303
361,Tb927.6.2140,0.049464772,4.180502,"hypothetical protein, conserved",2234,8.182984967
362,Tb927.10.14910,0.049464772,4.179815,"Sarcalumenin, putative",2791,8.91213168
363,Tb927.5.4260,0.049464772,4.166737,"histone H4, putative",82.5,9.050650381
364,Tb927.1.4650,0.049464772,4.154645,cyclin-like F-box protein 2,4234,7.535623198
365,Tb927.4.360,0.047381891,4.131382,"1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative",1142,6.807792011
366,Tb927.8.5050,0.046704319,4.116444,"OTU-like cysteine protease, putative",2072,8.177796133
368,Tb927.11.10430,0.045275209,4.087193,"hypothetical protein, conserved",1608,8.255248377
370,Tb927.10.7670,0.043202682,4.054698,"Protein of unknown function (DUF2962), putative",3832,7.750847675
371,Tb927.5.800,0.043202682,4.05345,"casein kinase I, isoform 2",600,8.319792888
373,Tb927.11.4030,0.043202682,4.036674,"hypothetical protein, conserved",1926,8.349083169
375,Tb927.11.10330,0.043202682,4.034734,regulator of chromosome condensation 1-like protein,1967,7.317059959
376,Tb927.7.4440,0.043202682,4.029751,"NAD dependent epimerase/dehydratase family, putative",2929,8.079579167
377,Tb927.11.7150,0.043202682,4.020168,NGG1 interacting factor 3-like,1648,7.88897656
378,Tb927.10.12100,0.043202682,4.013172,RNA-binding protein 7B,4313,8.054114901
379,Tb927.5.1000,0.043202682,4.011541,"ubiquitin-conjugating enzyme E2, putative",541,8.531951275
380,Tb927.8.6060,0.043202682,4.00869,2-amino-3-ketobutyrate coenzyme A ligase,369,9.218325397
381,Tb927.10.3080,0.043202682,3.996155,"methionine biosynthetic protein, putative",3531,6.466882442
382,Tb927.11.11610,0.043202682,3.994356,"Cactus-binding C-terminus of cactin protein, putative",3774,8.180785135
385,Tb927.8.2580,0.043202682,3.990471,"exocyst complex component Sec10, putative",4707,8.341335585
393,Tb927.1.5000,0.043202682,3.93059,"hypothetical protein, conserved",1740,7.72916479
396,Tb927.9.12310,0.043202682,3.918755,"hypothetical protein, conserved",6533,7.596146075
398,Tb927.7.1060,0.043202682,3.917708,ISWI complex protein,1625,7.972748836
400,Tb927.11.3260,0.043202682,3.907466,"mitochondrial DNA polymerase I protein D, putative",3739,7.734319681
402,Tb927.11.880,0.043202682,3.898888,cyclophilin a,126,8.328848307
404,Tb927.3.4680,0.043202682,3.893588,"RAB GDP dissociation inhibitor alpha, putative",594,7.658402563
406,Tb927.6.3160,0.043202682,3.869792,"splicing factor 3a, putative",2820,8.434265431
409,Tb927.9.9810,0.043202682,3.854536,"hypothetical protein, conserved",1709,7.149034267
410,Tb927.10.4460,0.043202682,3.843461,"leucine carboxyl methyltransferase, putative",2776.5,7.459935017
411,Tb927.1.240,0.043202682,3.840189,"retrotransposon hot spot protein (RHS, pseudogene), putative",2522,8.726009582
412,Tb927.9.10880,0.043202682,3.831213,"hypothetical protein, conserved",5378,7.146376133
413,Tb927.9.5350,0.043202682,3.813671,"actin related protein 3, putative",4933,8.553251749
414,Tb927.10.5870,0.043202682,3.803797,Flagellum attachment zone protein 25,2213,8.119981307
416,Tb927.8.6230,0.043202682,3.777382,"hypothetical protein, conserved",2124,7.617901563
419,Tb927.3.5580,0.043202682,3.749186,tryptophanyl-tRNA synthetase,1875,7.978828507
421,Tb927.9.8200,0.043202682,3.733488,"Pescadillo N-terminus/BRCA1 C Terminus (BRCT) domain containing protein, putative",1950.5,8.399760226
425,Tb927.9.14070,0.043202682,3.682908,"short-chain dehydrogenase, putative",3266,6.878119485
427,Tb927.9.15060,0.043202682,3.676106,"rRNA processing protein, putative",2519,8.192539577
428,Tb927.8.6530,0.043202682,3.669776,"SET domain containing protein, putative",6462,6.369957607
431,Tb927.1.2990,0.043202682,3.652646,kinetoplast ribosomal PPR-repeat containing protein 2,5329,8.980267052
433,Tb927.7.7460,0.043202682,3.635448,"hypothetical protein, conserved",574,9.469733676
434,Tb927.10.12430,0.043202682,3.63531,"Noc2p family, putative",2736,7.010723865
435,Tb927.11.9080,0.043202682,3.631768,Nucleolar protein 136,3383,7.830293479
437,Tb927.2.6100,0.043202682,3.601655,"hypothetical protein, conserved",2962,8.140476617
438,Tb927.11.7560,0.043202682,3.597619,Component of motile flagella 15,432,8.533098112
440,Tb927.8.3560,0.043202682,3.587112,DNA repair and recombination helicase protein PIF5,727,8.971187682
441,Tb927.10.10330,0.043202682,3.572987,Anaphase-promoting complex subunit CDC27,3751,8.38795902
444,Tb927.7.3130,0.043202682,3.541741,Transition Zone Protein 103 kDa,4711,7.889570602
445,Tb927.3.1820,0.040157572,3.499041,mitochondrial RNA binding complex 1 subunit,2024,8.112739022
446,Tb927.11.1840,0.040157572,3.497888,"hypothetical protein, conserved",247,8.843942522
447,Tb927.4.2140,0.039886128,3.485225,Component of motile flagella 8,2167,7.748529124
449,Tb927.2.560,0.039110827,3.468935,"retrotransposon hot spot protein 4 (RHS4), putative",993,8.813621014
450,Tb927.4.2340,0.039110827,3.467882,"hypothetical protein, conserved",2403,8.380500675
451,Tb11.02.5430b,0.039110827,3.466601,"hypothetical protein, conserved",3912.5,7.390051496
454,Tb927.11.3940,0.039110827,3.460036,"hypothetical protein, conserved",5554,6.21861427
455,Tb927.11.16640,0.039110827,3.458689,"Uncharacterised protein family UPF0564, putative",4483,8.575614999
457,Tb927.10.3680,0.039110827,3.434697,"hypothetical protein, conserved",4939,6.699334659
459,Tb927.6.3710,0.039110827,3.411823,"hypothetical protein, conserved",4437,6.931834028
460,Tb927.11.4690,0.039110827,3.406147,mitochondrial DNA polymerase I protein B,3557,8.085290578
461,Tb927.10.8710,0.039110827,3.405073,centrin-3,2399,8.381710586
463,Tb927.11.8430,0.038935031,3.379762,"hypothetical protein, conserved",3312,7.471306383
464,Tb927.1.3950,0.035452822,3.349269,alanine aminotransferase,428,8.472053991
465,Tb927.9.3760,0.035292631,3.342962,Nucleoporin GLE2,2084,8.256501266
468,Tb927.9.12360,0.031666512,3.302791,"RNA-binding protein, putative",2428,7.564606892
472,Tb927.10.1560,0.029588031,3.274253,Nucleolar protein 91,167,10.20167018
475,Tb927.1.2550,0.029588031,3.269264,"histone H3, putative",176,8.376905291
477,Tb927.10.9190,0.029588031,3.25864,"isoleucyl-tRNA synthetase, putative",640,8.598024072
480,Tb927.10.7680,0.029588031,3.245698,"GTPase activating protein, putative",1509,9.058615797
483,Tb927.10.2780,0.029588031,3.212186,DNA-directed RNA polymerase III subunit C1,1096,8.197445972
485,Tb927.11.7350,0.028320668,3.187559,Histone H2B variant V,792,8.033383541
486,Tb927.11.14200,0.02705237,3.172097,"ubiquitin-conjugating enzyme E2, putative",1414,7.240649075
488,Tb927.11.11650,0.02705237,3.166607,"Centrosomal protein of 164 kDa, putative",4857,7.789820354
489,Tb927.9.10920,0.02705237,3.161754,kinetoplastid kinetochore protein 3,2276,7.888841948
491,Tb927.3.5190,0.024159366,3.126396,"hypothetical protein, conserved",6549,7.429154512
493,Tb927.6.3690,0.024159366,3.121813,"pre-mRNA cleavage complex II Clp1-like, conserved",3855,8.288361027
495,Tb927.3.4000,0.024159366,3.119346,"clathrin coat assembly protein ap19, putative",2044,8.586486032
496,Tb927.10.1540,0.024159366,3.105989,"zinc finger protein family member, putative",3394,7.68267746
498,Tb927.4.2800,0.024159366,3.091815,"R3H-associated N-terminal domain containing protein, putative",7125,7.500757754
499,Tb927.1.190,0.023870205,3.084018,"retrotransposon hot spot protein (RHS, pseudogene), putative",717,9.003245055
500,Tb927.7.5490,0.021709896,3.065513,protein arginine n-methyltransferase 7,1982,7.17379793
502,Tb927.7.2170,0.019692047,3.041538,Nucleolar protein 168,2011,8.785877697
505,Tb927.11.7190,0.019692047,3.032049,hypothetical protein,4512,7.50986086
506,Tb927.2.380,0.019692047,3.027471,"retrotransposon hot spot protein 2 (RHS2), putative",1171,10.01313228
509,Tb927.10.13180,0.019692047,3.015865,"Nrap protein, putative",1993,8.385963571
510,Tb927.2.1810,0.019692047,3.004107,chromatin-remodeling complex atpase chain iswi,1442,7.866305065
513,Tb927.8.2600,0.019101677,2.983976,"WD domain, G-beta repeat/BING4CT (NUC141) domain containing protein, putative",3092,8.074816441
519,Tb927.9.11220,0.019101677,2.972048,"tRNA import complex component, putative",2319,8.735926094
520,Tb927.7.4570,0.019101677,2.96172,inosine-guanine nucleoside hydrolase,389.5,7.999265421
521,Tb927.7.3290,0.019101677,2.953578,"WD domain, G-beta repeat, putative",2856,7.691788524
524,Tb927.4.3760,0.019101677,2.935431,hypothetical protein,6069,8.150787131
525,Tb927.10.6220,0.019101677,2.935298,5-3 exoribonuclease D,2952,8.218404199
526,Tb927.6.4300,0.019101677,2.931668,"glyceraldehyde 3-phosphate dehydrogenase, glycosomal",13.5,11.47514798
527,Tb927.7.740,0.019101677,2.926255,"chaperone protein DnaJ, putative",4987,7.327031813
528,Tb927.11.11170,0.019101677,2.923611,"hypothetical protein, conserved",3459,7.416041067
529,Tb927.10.620,0.019101677,2.91748,"hypothetical protein, conserved",5603,7.62283548
530,Tb927.10.11450,0.019101677,2.915781,"TFIIF-stimulated CTD phosphatase, putative",3861,8.368082244
531,Tb927.11.9320,0.019101677,2.906345,"hypothetical protein, conserved",3503,6.996301479
532,Tb927.9.4000,0.019101677,2.903585,"hypothetical protein, conserved",2192.5,6.674603977
533,Tb927.9.7520,0.019101677,2.895733,"hypothetical protein, conserved",219,9.356752262
534,Tb927.11.2250,0.019101677,2.891225,"conserved protein, unknown function",1769,9.215690426
535,Tb927.8.2120,0.019101677,2.887007,"hypothetical protein, conserved",2195,6.788832744
545,Tb927.11.16540,0.019101677,2.857631,"Roadblock/LC7 domain containing protein, putative",1999,6.712001143
556,Tb927.11.715,0.019101677,2.827445,"dynein light chain LC8, putative",395,8.89058308
557,Tb927.11.3130,0.019101677,2.826825,glycosomal transporter (GAT2),2417,7.419030029
558,Tb927.6.2850,0.019101677,2.821625,"ESAG8-associated protein, putative",5534,7.62075009
560,Tb927.9.8000,0.019101677,2.781237,"ubiquitin-protein ligase, putative",787,7.0553401
562,Tb927.10.5640,0.019101677,2.773534,"Gem-associated protein 2, putative",3533,8.288159763
564,Tb927.6.3670,0.019101677,2.761809,"paraflagellar rod component, putative",1681,8.477034387
566,Tb927.9.6320,0.019101677,2.759579,"hypothetical protein, conserved",3785.5,7.9278629
567,Tb927.11.3850,0.019101677,2.755476,"AMP deaminase, putative",3653,7.901698016
568,Tb927.10.1620,0.019101677,2.749818,"phosphoserine/threonine/tyrosine-binding protein, putative",2563.5,8.104930739
569,Tb927.10.13290,0.019101677,2.74314,ethanolamine phosphotransferase (EPT),2533,7.280145681
570,Tb927.11.1230,0.019101677,2.741761,"hypothetical protein, conserved",2046,7.477381753
572,Tb927.2.5890,0.019101677,2.730322,"hypothetical protein, conserved",5427,6.993850486
577,Tb927.1.1100,0.019101677,2.720097,Basal body protein,4632,9.138144744
578,Tb927.10.12720,0.019101677,2.719956,"hypothetical protein, conserved",2520,8.483473182
579,Tb927.10.8980,0.019101677,2.712489,"hypothetical protein, conserved",675,8.955961803
580,Tb927.7.4760,0.019101677,2.701135,"hypothetical protein, conserved",2373.5,7.072911316
